NT Book	NT Chapter	NT Verse	Greek text (NT)	Text re-use typology 1	Text re-use typology 2	Text re-use typology 3	Text re-use typology 4	Ps (LXX)	Ps Chapter	Ps Verse	Greek text (Psalms)	French translation (PS) Giguet	French translation (NT) TOB	Source (PNT = The Psalms in the New Testament, NA= Nestle-Aland, si vide, trouvé sur internet)				
1 Corinthians	1	2	"
τῇ ἐκκλησίᾳ τοῦ θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ, ἡγιασμένοις ἐν Χριστῷ ’Ιησοῦ, κλητοῖς ἁγίοις, σὺν πᾶσιν τοῖς ἐπικαλουμένοις τὸ ὄνομα τοῦ κυρίου ἡμῶν ’Ιησοῦ Χριστοῦ ἐν παντὶ τόπῳ, αὐτῶν καὶ ἡμῶν·
"	echo	implicit	thematic and semantic, lexical	among other verses	Psalms	98	6	Μωυσῆς καὶ Ααρων ἐν τοῖς ἱερεῦσιν αὐτοῦ, καὶ Σαμουηλ ἐν τοῖς ἐπικαλουμένοις τὸ ὄνομα αὐτοῦ·ἐπεκαλοῦντο τὸν κύριον, καὶ αὐτὸς ἐπήκουσεν αὐτῶν,	Moïse et Aaron ont été comptés parmi ses prêtres, et Samuel parmi ceux qui invoquent son nom.Ils invoquaient le Seigneur, et lui les exauçait.	"

à l'Eglise de Dieu qui est à Corinthe, à ceux qui ont été sanctifiés dans le Christ Jésus, appelés à être saints avec tous ceux qui invoquent en tout lieu le nom de notre Seigneur Jésus Christ, leur Seigneur et le nôtre;"	NA				
1 Corinthians	1	19	γέγραπται γάρ, ’Απολῶ τὴν σοφίαν τῶν σοφῶν, καὶ τὴν σύνεσιν τῶν συνετῶν ἀθετήσω.	echo	implicit	thematic	distant	Psalms	32	10	" 	
κύριος διασκεδάζει βουλὰς ἐθνῶν, ἀθετεῖ δὲ λογισμοὺς λαῶνκαὶ ἀθετεῖ βουλὰς ἀρχόντων·

καὶ ἀθετεῖ βουλὰς ἀρχόντων·"	Le Seigneur dissipe les conseils des nations ; il réprouve les pensées des peuples ;il réprouve les desseins des princes.	"

Car il est écrit: Je détruirai la sagesse des sages et j'anéantirai l'intelligence des intelligents."	NA				
1 Corinthians	3	17	εἴ τις τὸν ναὸν τοῦ θεοῦ φθείρει, φθερεῖ τοῦτον ὁ θεός· ὁ γὰρ ναὸς τοῦ θεοῦ ἅγιός ἐστιν, οἵτινές ἐστε ὑμεῖς.	echo	implicit	thematic, lexical	distant, among other verses	Psalms	64	5	μακάριος ὃν ἐξελέξω καὶ προσελάβου· κατασκηνώσει ἐν ταῖς αὐλαῖς σου.πλησθησόμεθα ἐν τοῖς ἀγαθοῖς τοῦ οἴκου σου· ἅγιος ὁ ναός σου,ἐν δικαιοσύνῃ.	Heureux celui que tu auras élu et adopté ; il habitera en tes parvis.Nous nous rassasierons des biens de ta demeure. Ton temple est saint ;en justice.	"

Si quelqu'un détruit le temple de Dieu, Dieu le détruira. Car le temple de Dieu est saint, et ce temple, c'est vous."	NA				
1 Corinthians	3	17	"
εἴ τις τὸν ναὸν τοῦ θεοῦ φθείρει, φθερεῖ τοῦτον ὁ θεός· ὁ γὰρ ναὸς τοῦ θεοῦ ἅγιός ἐστιν, οἵτινές ἐστε ὑμεῖς."	echo	implicit	thematic, lexical	distant, among other verses	Psalms	78	1	Ψαλμὸς τῷ Ασαϕ. ‘Ο θεός, ἤλθοσαν ἔθνη εἰς τὴν κληρονομίαν σου, ἐμίαναν τὸν ναὸν τὸν ἅγιόν σου, ἔθεντο Ιερουσαλημ εἰς ὀπωροϕυλάκιον.	[Psaume d'Asaph.] ODieu, les Gentils sont entrés en ton héritage ; ils ont pollué ton temple saint. Ils ont fait de Jérusalem une cabane de jardinier.	"

Si quelqu'un détruit le temple de Dieu, Dieu le détruira. Car le temple de Dieu est saint, et ce temple, c'est vous."	NA				
1 Corinthians	3	20	"
καὶ πάλιν, Κύριος γινώσκει τοὺς διαλογισμοὺς τῶν σοφῶν ὅτι εἰσὶν μάταιοι."	quotation	explicit	litteral		Psalms	93	11	κύριος γινώσκει τοὺς διαλογισμοὺς τῶν ἀνθρώπων ὅτι εἰσὶν μάταιοι.	le Seigneur connaît les pensées des hommes, et il sait qu'elles sont vaines.	et encore: Le Seigneur connaît les pensées des sages. Il sait qu'elles sont vaines.	PNT NA				
1 Corinthians	4	12	καὶ κοπιῶμεν ἐργαζόμενοι ταῖς ἰδίαις χερσίν· λοιδορούμενοι εὐλογοῦμεν, διωκόμενοι ἀνεχόμεθα,	echo	implicit	thematic and semantic, lexical and structural similarity	distant	Psalms	108	28	καταράσονται αὐτοί, καὶ σὺ εὐλογήσεις· οἱ ἐπανιστανόμενοί μοι αἰσχυνθήτωσαν, ὁ δὲ δοῦλός σου εὐϕρανθήσεται.	Ils maudiront, et tu béniras ; que ceux qui m'attaqueront soient confondus, et ton serviteur sera réjoui.	"

et nous peinons en travaillant de nos mains. On nous insulte, nous bénissons; on nous persécute, nous endurons;"	NA				
1 Corinthians	6	17	"
ὁ δὲ κολλώμενος τῷ κυρίῳ ἓν πνεῦμά ἐστιν.
"	echo	implicit	NULL, thematic and semantic, thematic	distant	Psalms	72	28	ἐμοὶ δὲ τὸ προσκολλᾶσθαι τῷ θεῷ ἀγαθόν ἐστιν, τίθεσθαι ἐν τῷ κυρίῳ τὴν ἐλπίδα μουτοῦ ἐξαγγεῖλαι πάσας τὰς αἰνέσεις σουἐν ταῖς πύλαις τῆς θυγατρὸς Σιων.	Pour moi, il est bon que je m'attache à Dieu, que je place en Dieu mon espérance,que je chante ses louangesaux portes de la fille de Sion.	"

Mais celui qui s'unit au Seigneur est avec lui un seul esprit."	NA				
1 Corinthians	10	1	"
Οὐ θέλω γὰρ ὑμᾶς ἀγνοεῖν, ἀδελφοί, ὅτι οἱ πατέρες ἡμῶν πάντες ὑπὸ τὴν νεφέλην ἦσαν καὶ πάντες διὰ τῆς θαλάσσης διῆλθον,
"	echo	implicit	thematic and semantic	among other verses	Psalms	104	39	διεπέτασεν νεϕέλην εἰς σκέπην αὐτοῖς καὶ πῦρ τοῦ ϕωτίσαι αὐτοῖς τὴν νύκτα.	Le Seigneur étendit une nuée pour les couvrir, et un feu pour les éclairer la nuit.	"

Je ne veux pas vous le laisser ignorer, frères: nos pères étaient tous sous la nuée, tous ils passèrent à travers la mer"	NA				
1 Corinthians	10	3	"
καὶ πάντες τὸ αὐτὸ πνευματικὸν βρῶμα ἔφαγον,
"	echo	implicit	thematic	distant	Psalms	77	24	καὶ ἔβρεξεν αὐτοῖς μαννα ϕαγεῖν καὶ ἄρτον οὐρανοῦ ἔδωκεν αὐτοῖς·	Et il fit pleuvoir sur eux la manne pour les nourrir, et il leur donna le pain du ciel.	"

Tous mangèrent la même nourriture spirituelle,"	NA				
1 Corinthians	10	4	"
καὶ πάντες τὸ αὐτὸ πνευματικὸν ἔπιον πόμα· ἔπινον γὰρ ἐκ πνευματικῆς ἀκολουθούσης πέτρας· ἡ πέτρα δὲ ἦν ὁ Χριστός.
"	echo	implicit	thematic and semantic	NULL, prophecy	Psalms	77	15	διέρρηξεν πέτραν ἐν ἐρήμῳ καὶ ἐπότισεν αὐτοὺς ὡς ἐν ἀβύσσῳ πολλῇ 16 καὶ ἐξήγαγεν ὕδωρ ἐκ πέτρας καὶ κατήγαγεν ὡς ποταμοὺς ὕδατα.	Il a fendu le rocher dans le désert, et il les a abreuvés comme avec l'eau d'un grand abîme. 16 Et de la pierre il a tiré et conduit l'eau comme un fleuve.	"

et tous burent le même breuvage spirituel; car ils buvaient à un rocher spirituel qui les suivait: ce rocher, c'était le Christ."	NA				
