NT_ref	NT_text	reuse_label	Ps_ref	Ps_text
1 Co 1:2	ecclesiae Dei quae est Corinthi sanctificatis in Christo Iesu vocatis sanctis cum omnibus qui invocant nomen Domini nostri Iesu Christi in omni loco ipsorum et nostro	echo	Ps 98:6	Moses et Aaron in sacerdotibus eius et Samuhel inter eos qui invocant nomen eius  invocabant Dominum et ipse exaudiebat illos
1 Co 1:19	scriptum est enim perdam sapientiam sapientium et prudentiam prudentium reprobabo	echo	Ps 32:10	Dominus dissipat consilia gentium reprobat autem cogitationes populorum  et reprobat consilia principum
1 Co 3:17	si quis autem templum Dei violaverit disperdet illum Deus templum enim Dei sanctum est quod estis vos	echo	Ps 64:5	beatus quem elegisti et adsumpsisti inhabitabit in atriis tuis  replebimur in bonis domus tuae sanctum est templum tuum
1 Co 3:17	si quis autem templum Dei violaverit disperdet illum Deus templum enim Dei sanctum est quod estis vos	echo	Ps 78:1	psalmus Asaph  Deus venerunt gentes in hereditatem tuam polluerunt templum sanctum tuum posuerunt Hierusalem in pomorum custodiam
1 Co 3:20	et iterum Dominus novit cogitationes sapientium quoniam vanae sunt	quotation	Ps 93:11	Dominus scit cogitationes hominum quoniam vanae sunt
1 Co 4:12	et laboramus operantes manibus nostris maledicimur et benedicimus persecutionem patimur et sustinemus	echo	Ps 108:28	maledicent illi et tu benedices qui insurgunt in me confundantur servus autem tuus laetabitur
1 Co 6:17	qui autem adheret Domino unus spiritus est	echo	Ps 72:28	mihi autem adherere Deo bonum est ponere in Domino Deo spem meam  ut adnuntiem omnes praedicationes tuas  in portis filiae Sion
1 Co 10:1	nolo enim vos ignorare fratres quoniam patres nostri omnes sub nube fuerunt et omnes mare transierunt	echo	Ps 104:39	expandit nubem in protectionem eorum et ignem ut luceret eis per noctem
1 Co 10:3	et omnes eandem escam spiritalem manducaverunt	echo	Ps 77:24	et pluit illis manna ad manducandum et panem caeli dedit eis
1 Co 10:4	et omnes eundem potum spiritalem biberunt bibebant autem de spiritali consequenti eos petra petra autem erat Christus	echo	Ps 77:15	interrupit petram in heremo et adaquavit eos velut in abysso multa
1 Co 10:5	sed non in pluribus eorum beneplacitum est Deo nam prostrati sunt in deserto	echo	Ps 77:31	et ira Dei ascendit in eos et occidit pingues eorum et electos Israhel inpedivit
1 Co 10:9	neque temptemus Christum sicut quidam eorum temptaverunt et a serpentibus perierunt	echo	Ps 77:18	et temptaverunt Deum in cordibus suis ut peterent escas animabus suis
1 Co 10:13	temptatio vos non adprehendat nisi humana fidelis autem Deus qui non patietur vos temptari super id quod potestis sed faciet cum temptatione etiam proventum ut possitis sustinere	echo	Ps 144:13	regnum tuum regnum omnium saeculorum et dominatio tua in omni generatione et progenie  fidelis Dominus  in omnibus verbis suis  et sanctus in omnibus operibus suis
1 Co 10:20	sed quae immolant gentes daemoniis immolant et non Deo nolo autem vos socios fieri daemoniorum  non potestis calicem Domini bibere et calicem daemoniorum	echo	Ps 105:37	et immolaverunt filios suos et filias suas daemoniis
1 Co 10:26	domini est terra et plenitudo eius	quotation	Ps 23:1	psalmus David  prima sabbati  Domini est terra et plenitudo eius orbis terrarum et universi qui habitant in eo
1 Co 10:26	domini est terra et plenitudo eius	echo	Ps 49:12	si esuriero non dicam tibi meus est enim orbis terrae et plenitudo eius
1 Co 10:26	domini est terra et plenitudo eius	echo	Ps 88:12	tui sunt caeli et tua est terra orbem terrae et plenitudinem eius tu fundasti
