Genesis,Ge
Exodus,Ex
Leviticus,Lv
Numbers,Nm
Deuteronomy,Dt
Joshua,Jos
Judges,Jg
Ruth,Rt
1 Samuel,1 S
2 Samuel,2 S
1 Kings,1 K
2 Kings,2 K
1 Chronicles,1 Ch
2 Chronicles,2 Ch
Ezra,Ezr
Nehemiah,Ne
Tobit,Tb
Judith,Jdt
Esther,Est
1 Maccabees,1 M
2 Maccabees,2 M
Job,Jb
Psalms,Ps
Proverbs,Pr
Ecclesiastes,Qo
Song of Solomon,Song
Wisdom of Solomon,Ws
Sirach,Si
Isaiah,Is
Jeremiah,Jr
Lamentations,Lm
Baruch,Ba
Ezekiel,Ez
Daniel,Dn
Hosea,Hos
Joel,Jl
Amos,Am
Obadiah,Ob
Jonah,Jon
Micah,Mi
Nahum,Na
Habakkuk,Hab
Zephaniah,Ze
Haggai,Hag
Zechariah,Za
Malachi,Ml
Matthew,Mt
Mark,Mk
Luke,Lk
John,Jn
Acts,Ac
Romans,Rm
1 Corinthians,1 Co
2 Corinthians,2 Co
Galatians,Ga
Ephesians,Ep
Philippians,Ph
Colossians,Col
1 Thessalonians,1 Th
2 Thessalonians,2 Th
1 Timothy,1 Tm
2 Timothy,2 Tm
Titus,Tt
Philemon,Phm
Hebrews,Heb
James,Jm
1 Peter,1 P
2 Peter,2 P
1 John,1 Jn
1 Jean,1 Jn
2 John,2 Jn
3 John,3 Jn
Jude,Jude
Revelation,Rv
Additions to Esther,Est (add)
3 Ezra,3 Ezr
3 Maccabees,3 M
4 Ezra,4 Ezr
4 Maccabees,4 M
Laodiceans,Laod
Letter of Jeremiah,Ep Jr
Odes,Od
Prayer of Manasseh,Man
Psalms of Solomon,Ps Sol
Daniel (Th),Dn (Th)
Additions to Daniel,Dn (add)
Azariah,Az
Susannah,Sus
Bel and the dragon,Bel
Ezra-Nehemiah,Ezr-Ne
Psalm 151,Ps 151
Joshua (A),Jos (A)
Judges (B),Jg (B)
Psalms (Hb),Ps Hb
Epistle of Baruch (A),Ep Ba (A)
Revelation of Baruch,Rv Ba
Barnabas,Barn
Susannah (Th),Sus (Th)
Bel and the dragon (Th),Bel (Th)
Tobit (S),Tb (S)
Undefined,Und.
Apocryphal Psalms,Ap.Ps
Epistle of Baruch (B),Ep Ba (B)
1 Maccabees (B),1 M (B)
Psalm 151 (B),Ps 151 (B)
Tobit (B),Tb (B)
Prayer of Manasseh (B),Man (B)
