1 Col ,1 Co
2 Col ,2 Co
1 C ,1 Co
1 Co o ,1 Co
1 Coh ,1 Co
1 Coo ,1 Co
1 Cor,1 Co
1 Io ,1 Jn
1 R ,1 K
1 Mcc ,1 M
1 Par ,1 Ch
1 Pt ,1 P
1 Rg,1 S
1 T ,1 Th
1 TI ,1 Tm
1 Tt ,1 Tm
1Jn ,1 Jn
1K ,1 K
1T ,1 Th
1Th ,1 Th
1Tm ,1 Tm
2 C ,2 Co
2 Co o ,2 Co
2 Coh ,2 Co
2 Coo ,2 Co
2 Cor,2 Co
2 Io ,2 Jn
2 R ,2 K
2 Mcc ,2 M
2 Par ,2 Ch
2 Pt ,2 P
2 Rg,2 S
2 T ,2 Th
2 TI ,2 Tm
2 Tim ,2 Tm
2 Tt ,2 Tm
2Jn ,2 Jn
2K ,2 K
2S ,2 S
2T ,2 Th
2Th ,2 Th
2Tm ,2 Tm
3 Io ,3 Jn
3 Rg,1 K
4 Rg,2 K
Ab ,Ob
Act,Ac
Ag ,Hag
Agg ,Hag
Ap ,Rv
Apc ,Rv
Bar ,Ba
Ct ,Song
Da ,Dn
Ecl ,Qo
Ecli ,Si
Eph ,Ep
Es ,Is
Esd ,Ezr
Esr ,Ezr
Gal ,Ga
Gn ,Ge
Ha ,Hab
Hb ,Heb
Hbr ,Heb
He ,Heb
Iac ,Jm
Idc ,Jg
Ier ,Jr
Io ,Jn
Iob ,Jb
Ioel ,Jl
Ion ,Jon
Ios ,Jos
Ist ,Est
Iud ,Jude
Jo ,Jn
Job,Jb
Jq ,Jc
Js ,Jos
Lam ,Lm
Lc ,Lk
Mal ,Ml
Mc ,Mk
Os ,Hos
Phil ,Ph
Phlm ,Phm
Prov ,Pr
Prv ,Pr
Sap ,Ws
Sg ,Ws
So ,Ze
SP ,Ws
Sp ,Ws
Ti ,Tt
Tit ,Tt
Tob ,Tb
